2016-11-13 17:45:14,904 ERROR    No Master specified
2016-11-13 17:46:05,303 INFO     Bot started.
2016-11-13 17:46:27,482 INFO     Chat Message: text private 66441008
2016-11-13 17:47:30,238 ERROR    Traceback (most recent call last):
2016-11-13 17:47:30,239 ERROR      File "Pollbot.py", line 220, in <module>
2016-11-13 17:47:30,240 ERROR    time.sleep(10)
2016-11-13 17:47:30,241 ERROR    KeyboardInterrupt
2016-11-13 17:47:31,894 INFO     Bot started.
2016-11-13 17:47:38,701 INFO     Chat Message: text private 66441008
2016-11-13 17:48:46,461 ERROR    Traceback (most recent call last):
2016-11-13 17:48:46,462 ERROR      File "Pollbot.py", line 220, in <module>
2016-11-13 17:48:46,463 ERROR    time.sleep(10)
2016-11-13 17:48:46,464 ERROR    KeyboardInterrupt
2016-11-13 17:48:48,236 INFO     Bot started.
2016-11-13 17:49:05,495 INFO     Chat Message: text private 66441008
2016-11-13 17:49:14,245 INFO     Chat Message: text group -155161332
2016-11-13 17:49:47,982 ERROR    Traceback (most recent call last):
2016-11-13 17:49:47,983 ERROR      File "Pollbot.py", line 220, in <module>
2016-11-13 17:49:47,984 ERROR    time.sleep(10)
2016-11-13 17:49:47,985 ERROR    KeyboardInterrupt
2016-11-13 17:49:49,344 INFO     Bot started.
2016-11-13 17:49:56,799 INFO     Chat Message: text private 66441008
2016-11-13 17:50:01,228 INFO     Chat Message: text group -155161332
2016-11-13 17:50:37,363 ERROR    Traceback (most recent call last):
2016-11-13 17:50:37,364 ERROR      File "Pollbot.py", line 220, in <module>
2016-11-13 17:50:37,366 ERROR    time.sleep(10)
2016-11-13 17:50:37,366 ERROR    KeyboardInterrupt
2016-11-13 17:50:38,517 INFO     Bot started.
2016-11-13 17:50:45,678 INFO     Chat Message: text private 66441008
2016-11-13 17:50:57,055 INFO     Chat Message: text group -155161332
2016-11-13 17:50:58,526 INFO     Callback query: 285361956909970446, 66441008, Qua
2016-11-13 17:51:02,675 INFO     Callback query: 701495845859783604, 163329729, Qua
2016-11-13 17:51:03,514 INFO     Chat Message: text group -155161332
2016-11-13 17:51:07,792 INFO     Chat Message: text group -155161332
2016-11-13 17:51:20,737 INFO     Chat Message: text group -155161332
2016-11-13 17:56:48,396 ERROR    Traceback (most recent call last):
2016-11-13 17:56:48,396 ERROR      File "Pollbot.py", line 220, in <module>
2016-11-13 17:56:48,409 ERROR    time.sleep(10)
2016-11-13 17:56:48,409 ERROR    KeyboardInterrupt
